Date,Adj Close,Close,High,Low,Open,Volume
12/2/2020,92.11341857910156,103.68000030517578,105.23999786376953,102.95999908447266,104.05999755859375,1710400
12/3/2020,92.24667358398438,103.83000183105469,104.30000305175781,102.69999694824219,103.08999633789062,1435600
12/4/2020,92.71755219,104.36000061035156,104.87999725341797,103.72000122070312,104.19999694824219,1243800
12/7/2020,91.87352752685547,103.41000366210938,104.4000015258789,102.70999908447266,103.69999694824219,1488800
12/8/2020,93.68594360351562,105.44999694824219,105.72000122070312,102.44000244140625,102.63999938964844,1578100
12/9/2020,93.45495605,105.19000244140625,105.86000061035156,104.83999633789062,105.01000213623047,1413800
12/10/2020,93.65928649902344,105.41999816894531,105.72000122070312,104.31999969482422,104.91000366210938,2220700
12/11/2020,92.77973175048828,104.43000030517578,105.6500015258789,103.81999969482422,104.51000213623047,1662100
12/14/2020,93.17066192626953,104.87000274658203,106,104.5999984741211,105.4000015258789,1975300
12/15/2020,94.10350036621094,105.91999816894531,106.55999755859375,104.77999877929688,105.23999786376953,1404800
12/16/2020,94.54772949,106.41999816894531,107.48999786376953,106.04000091552734,106.38999938964844,1823600
12/17/2020,94.67211914,106.55999755859375,107.05000305175781,105.8499984741211,106.52999877929688,1821000
12/18/2020,95.41840362548828,107.4000015258789,108.0999984741211,106.30000305175781,107,5276700
12/21/2020,94.32563018798828,106.16999816894531,107.61000061035156,104.47000122070312,107.5999984741211,2140200
12/22/2020,94.34338379,106.19000244140625,107.26000213623047,106.01000213623047,106.55999755859375,1513600
12/23/2020,94.16571807861328,105.98999786376953,107.55000305175781,105.94999694824219,106.43000030517578,1083300
12/24/2020,95.23184204101562,107.19000244140625,107.41000366210938,105.91999816894531,106.19000244140625,509000
12/28/2020,95.48059844970703,107.47000122070312,108.97000122070312,107.4000015258789,108.0199966430664,1130000
12/29/2020,95.52500915527344,107.5199966430664,108.31999969482422,107.33999633789062,107.7300033569336,1406000
12/30/2020,96.08475494384766,108.1500015258789,108.61000061035156,107.7699966430664,108.11000061035156,1017200
12/31/2020,97.66614532470703,109.93000030517578,110.0999984741211,108,108.16999816894531,1033800
1/4/2021,96.02253723144531,108.08000183105469,110.25,107.18000030517578,109.9000015258789,2124600
1/5/2021,95.26736450195312,107.2300033569336,108.3499984741211,106.56999969482422,108.3499984741211,2054000
1/6/2021,97.71945953,109.98999786376953,111.06999969482422,107.61000061035156,107.87999725341797,2174800
1/7/2021,97.79052734,110.06999969482422,110.91000366210938,109.63999938964844,110.2699966430664,1545300
1/8/2021,97.68392944335938,109.94999694824219,110.63999938964844,108.69999694824219,110.5199966430664,1260900
1/11/2021,96.97319030761719,109.1500015258789,110.19000244140625,108.91999816894531,109.12999725341797,1290500
1/12/2021,97.53289794921875,109.77999877929688,110.51000213623047,109.16000366210938,109.58000183105469,1219200
1/13/2021,96.73327637,108.87999725341797,110.19000244140625,108.16000366210938,109.36000061035156,2023500
1/14/2021,96.89322662353516,109.05999755859375,109.54000091552734,108.19999694824219,108.98999786376953,1432900
1/15/2021,96.30683135986328,108.4000015258789,109.37000274658203,108.0199966430664,108.69999694824219,2126800
1/19/2021,97.96821594238281,110.2699966430664,110.5,108.3499984741211,108.5999984741211,1255100
1/20/2021,98.6167984,111,111.70999908447266,109.77999877929688,110.11000061035156,1993400
1/21/2021,98.3680191,110.72000122070312,111.9000015258789,110.70999908447266,111.5199966430664,1605200
1/22/2021,98.11036682128906,110.43000030517578,110.95999908447266,109.5,110.19000244140625,1238700
1/25/2021,98.57234954833984,110.94999694824219,111.87999725341797,109.87000274658203,110.05000305175781,1124100
1/26/2021,97.30187988,109.5199966430664,111.41000366210938,109.16000366210938,111.0199966430664,1078800
1/27/2021,98.18145751953125,110.51000213623047,112.9000015258789,108.54000091552734,108.80000305175781,2797100
1/28/2021,97.10643005371094,109.30000305175781,111.37999725341797,108.9000015258789,110.23999786376953,2741200
1/29/2021,95.22296142578125,107.18000030517578,109.22000122070312,107.0199966430664,108.55999755859375,2144500
2/1/2021,96.58224487304688,108.70999908447266,109.05999755859375,106.94999694824219,107.04000091552734,1548300
2/2/2021,98.43020629882812,110.79000091552734,111.76000213623047,109.55000305175781,110.33000183105469,2057100
2/3/2021,96.83990478515625,109,110.83999633789062,108.41000366210938,109.88999938964844,1702700
2/4/2021,95.17853546142578,107.12999725341797,109.6500015258789,106.06999969482422,108.86000061035156,2767000
2/5/2021,94.99196625,106.91999816894531,107.87999725341797,106.51000213623047,107.06999969482422,1742700
2/8/2021,95.40063477,107.37999725341797,107.45999908447266,105.94999694824219,107,1909200
2/9/2021,95.84484100341797,107.87999725341797,108.48999786376953,107.2699966430664,107.4800033569336,1054700
2/10/2021,93.81920623779297,105.5999984741211,107.8499984741211,105.37000274658203,107.5999984741211,1879200
2/11/2021,92.82416534423828,104.4800033569336,105.62000274658203,103.3499984741211,105,2020300
2/12/2021,92.77973175048828,104.43000030517578,105.12000274658203,103.52999877929688,104.12000274658203,1202600
2/16/2021,91.69584655761719,103.20999908447266,105,103.08999633789062,105,2086200
2/17/2021,93.16176605,104.86000061035156,105.08999633789062,102.55000305175781,102.93000030517578,1961600
2/18/2021,93.35723876953125,105.08000183105469,105.5,104.1500015258789,104.69000244140625,1690900
2/19/2021,91.90908051,103.44999694824219,105.19999694824219,103.30000305175781,105.19999694824219,2574500
2/22/2021,93.56156158447266,105.30999755859375,106.25,102.56999969482422,103.26000213623047,2217800
2/23/2021,95.96036529541016,108.01000213623047,108.54000091552734,105.33999633789062,106.37999725341797,2525100
2/24/2021,96.27130889892578,108.36000061035156,109.33999633789062,107.55000305175781,107.66000366210938,1578800
2/25/2021,96.68887329101562,108.83000183105469,110.38999938964844,108.79000091552734,109,1886700
2/26/2021,94.70766449,106.5999984741211,109.12000274658203,106.58000183105469,108.54000091552734,2795400
